user_id,days_since_signup,days_since_last_activity,logins_last_30_days,total_active_hours,payments_made,lifetime_value_dollars,payment_failures_count,pricing_page_visits,support_tickets,open_complaint_tickets,sentiment_score,failed_onboarding_steps,plan_utilization_percent,core_features_untouched,primary_use_case
user_startup_1,60,0,20,47.7,1,258.41,0,0,0,0,0.65,0,38,6,Marketing
user_startup_2,71,56,0,0.0,1,417.46,1,0,3,2,0.56,0,22,7,Education
user_startup_3,85,39,4,2.8,1,319.85,0,0,2,0,0.63,0,39,6,SaaS
user_startup_4,95,6,7,6.6,2,118.17,0,1,4,2,0.72,0,26,7,Finance
user_startup_5,111,56,2,5.9,2,506.44,0,0,2,0,0.33,0,52,4,E-commerce
user_startup_6,46,40,1,0.7,0,0.0,0,3,4,1,0.38,2,23,7,Marketing
user_startup_7,112,44,0,0.0,2,857.57,0,2,0,0,0.42,0,38,6,Education
user_startup_8,97,40,2,1.3,1,355.34,0,4,0,0,0.26,0,58,4,Education
user_startup_9,76,12,15,15.4,1,244.9,0,2,0,0,0.51,0,62,3,Education
user_startup_10,125,5,27,45.8,2,101.66,0,3,1,0,0.73,0,26,7,Education
user_startup_11,83,53,0,0.0,1,102.76,0,1,5,1,0.07,0,36,6,Finance
user_startup_12,82,39,0,0.0,1,155.2,0,2,0,0,0.78,0,44,5,Finance
user_startup_13,99,19,1,1.8,2,290.01,0,1,9,1,0.34,0,28,7,Education
user_startup_14,112,41,2,5.3,1,181.13,1,0,4,1,0.28,0,25,7,Marketing
user_startup_15,47,28,1,1.2,0,0.0,2,2,5,5,0.4,1,0,10,Finance
user_startup_16,86,17,0,0.0,1,268.0,0,3,3,1,0.44,0,0,10,Finance
user_startup_17,51,38,1,0.7,0,0.0,1,1,2,0,0.18,0,23,7,E-commerce
user_startup_18,116,5,26,62.9,2,690.41,0,6,0,0,0.0,0,6,9,Education
user_startup_19,46,3,8,5.0,0,0.0,0,1,0,0,0.11,1,34,6,Finance
user_startup_20,81,6,13,18.1,1,134.39,0,0,1,0,0.26,0,0,10,Finance
user_startup_21,112,53,2,5.7,1,75.01,1,0,1,0,0.8,0,53,4,SaaS
user_startup_22,76,55,4,4.2,1,260.43,0,1,6,0,0.25,0,11,8,Marketing
user_startup_23,36,11,5,9.2,0,0.0,0,1,3,1,0.69,1,31,6,Marketing
user_startup_24,97,17,2,5.0,2,707.14,0,0,3,0,0.6,0,50,5,E-commerce
user_startup_25,111,58,2,5.9,2,372.69,0,1,5,0,0.25,0,32,6,E-commerce
user_startup_26,32,21,1,2.7,0,0.0,1,2,1,0,0.52,1,47,5,Education
user_startup_27,53,22,1,2.8,0,0.0,0,0,2,0,0.41,0,20,8,E-commerce
user_startup_28,114,0,8,7.2,2,363.16,0,1,5,0,0.65,0,41,5,Finance
user_startup_29,61,3,24,44.0,1,158.76,0,3,1,0,0.4,0,14,8,Education
user_startup_30,98,2,12,31.7,2,599.91,0,2,4,1,0.13,0,35,6,Finance
user_startup_31,91,52,1,3.0,1,266.56,0,3,7,1,0.44,0,18,8,Finance
user_startup_32,129,50,0,0.0,2,793.7,1,1,2,0,0.2,0,17,8,Finance
user_startup_33,59,42,1,1.4,0,0.0,1,2,3,2,0.13,2,27,7,Education
user_startup_34,121,56,4,11.3,2,492.91,0,0,0,0,0.04,0,22,7,SaaS
user_startup_35,52,5,11,22.8,0,0.0,0,2,1,0,0.42,0,13,8,Marketing
user_startup_36,158,19,4,4.7,3,1332.32,1,2,1,0,0.58,0,7,9,Finance
user_startup_37,138,27,0,0.0,3,1286.92,1,2,3,0,0.3,0,21,7,Finance
user_startup_38,34,50,3,6.2,0,0.0,0,2,0,0,0.68,0,35,6,Education
user_startup_39,89,53,4,4.9,1,383.96,0,0,2,0,0.14,0,30,7,Education
user_startup_40,87,15,0,0.0,1,50.61,0,0,0,0,0.64,0,28,7,E-commerce
user_startup_41,93,13,16,47.8,2,421.84,0,0,1,0,0.14,0,66,3,E-commerce
user_startup_42,74,18,3,2.0,1,263.48,0,4,1,0,0.7,0,39,6,SaaS
user_startup_43,77,11,16,47.2,1,335.22,0,2,1,0,0.05,0,35,6,SaaS
user_startup_44,36,13,23,46.3,0,0.0,0,4,0,0,0.51,0,19,8,Education
user_startup_45,157,52,2,4.0,2,826.28,2,2,0,0,0.57,0,46,5,Marketing
user_startup_46,55,52,2,5.0,0,0.0,0,2,2,0,0.53,0,23,7,E-commerce
user_startup_47,114,50,2,4.6,1,256.66,0,2,3,1,0.46,0,54,4,SaaS
user_startup_48,127,39,3,4.1,2,287.62,1,3,2,0,0.65,0,21,7,SaaS
user_startup_49,92,51,2,2.3,2,998.96,0,0,2,0,0.51,0,36,6,E-commerce
user_startup_50,66,3,22,53.4,1,348.04,0,0,1,0,0.26,0,61,3,Finance
user_startup_51,38,3,18,53.9,0,0.0,0,0,1,0,0.57,0,31,6,Marketing
user_startup_52,137,20,1,1.1,3,1439.53,0,2,0,0,0.75,0,20,8,SaaS
user_startup_53,96,55,0,0.0,2,965.58,0,2,3,2,0.23,0,49,5,SaaS
user_startup_54,134,55,0,0.0,3,294.42,0,2,1,0,0.37,0,23,7,Finance
user_startup_55,72,50,2,5.5,1,318.5,0,1,3,3,0.31,0,23,7,SaaS
user_startup_56,106,36,1,2.3,2,480.71,0,0,2,0,0.19,0,18,8,E-commerce
