user_id,days_since_signup,days_since_last_activity,logins_last_30_days,total_active_hours,payments_made,lifetime_value_dollars,payment_failures_count,pricing_page_visits,support_tickets,open_complaint_tickets,sentiment_score,failed_onboarding_steps,plan_utilization_percent,core_features_untouched,primary_use_case
user_enterprise_1,87,27,3,6.4,1,309.39,0,0,0,0,0.81,0,80,2,E-commerce
user_enterprise_2,907,2,24,44.1,17,1762.66,0,0,2,0,0.86,0,66,3,Marketing
user_enterprise_3,780,57,3,6.9,15,6627.07,0,0,0,0,1.0,0,99,0,Education
user_enterprise_4,448,10,20,13.8,7,2423.14,0,2,1,0,0.9,0,71,2,E-commerce
user_enterprise_5,761,2,18,23.7,23,11318.84,0,4,1,0,0.82,0,98,0,Education
user_enterprise_6,683,4,25,46.8,16,1402.89,0,1,1,0,0.79,0,58,4,Marketing
user_enterprise_7,503,3,7,7.3,15,6353.11,0,0,2,0,0.87,0,99,0,Finance
user_enterprise_8,673,11,6,12.2,13,4837.75,0,1,1,0,0.88,0,77,2,E-commerce
user_enterprise_9,860,4,22,35.0,18,7695.91,0,0,0,0,0.71,0,85,1,E-commerce
user_enterprise_10,264,2,22,15.3,5,888.26,0,0,0,0,0.9,0,82,1,Education
user_enterprise_11,439,33,4,4.9,9,1316.03,0,0,2,0,0.78,0,67,3,Finance
user_enterprise_12,634,33,0,0.0,15,1164.89,0,0,3,1,0.8,0,90,1,Education
user_enterprise_13,706,8,19,32.3,21,7233.27,0,0,0,0,0.75,0,69,3,Finance
user_enterprise_14,605,41,1,2.2,14,6584.65,0,0,0,0,0.7,0,100,0,SaaS
user_enterprise_15,457,6,29,31.0,9,889.54,2,0,0,0,0.77,0,88,1,E-commerce
user_enterprise_16,848,50,1,1.9,22,7816.24,0,0,0,0,0.79,0,92,0,Marketing
user_enterprise_17,907,10,18,48.6,21,1064.96,0,4,0,0,0.83,0,81,1,Marketing
user_enterprise_18,439,46,0,0.0,10,2242.0,0,2,1,0,0.88,0,93,0,Education
user_enterprise_19,804,8,5,12.8,17,7582.74,0,4,1,0,0.72,0,76,2,Marketing
user_enterprise_20,555,9,17,50.2,9,3337.33,0,2,6,1,0.79,0,83,1,Education
user_enterprise_21,956,20,2,5.7,23,2127.26,0,0,0,0,0.58,0,85,1,Marketing
user_enterprise_22,796,30,2,1.0,14,3104.53,0,0,0,0,0.77,0,71,2,Marketing
user_enterprise_23,726,51,0,0.0,19,4491.55,0,1,1,0,0.74,0,82,1,SaaS
user_enterprise_24,637,6,15,36.2,19,2491.3,0,0,0,0,0.84,0,78,2,Marketing
user_enterprise_25,943,44,2,4.5,23,5201.34,0,0,2,0,0.77,0,91,0,Finance
user_enterprise_26,235,12,26,17.3,3,1494.46,0,2,0,0,0.87,0,100,0,Education
user_enterprise_27,305,59,4,8.9,5,2093.39,0,0,0,0,0.73,0,82,1,SaaS
user_enterprise_28,649,0,25,47.5,18,6261.7,0,1,0,0,0.78,0,67,3,Finance
user_enterprise_29,745,0,6,16.4,14,1895.41,0,0,0,0,0.73,0,87,1,E-commerce
user_enterprise_30,442,44,4,9.2,7,2337.99,0,0,2,0,0.91,0,88,1,Finance
user_enterprise_31,581,38,3,1.7,10,3565.17,0,0,1,0,0.94,0,81,1,E-commerce
user_enterprise_32,578,2,28,25.0,12,4503.37,0,0,1,0,0.79,0,63,3,Education
user_enterprise_33,979,6,26,72.5,25,1622.82,0,0,3,1,0.78,0,82,1,SaaS
user_enterprise_34,840,13,21,17.4,22,2794.08,0,0,7,0,0.9,0,89,1,Finance
user_enterprise_35,633,5,29,22.6,15,4321.33,0,3,0,0,0.84,0,59,4,Marketing
user_enterprise_36,932,6,20,31.0,15,3308.14,0,0,1,0,0.84,0,98,0,Education
user_enterprise_37,817,0,13,29.1,17,7526.61,0,0,4,0,0.65,0,93,0,E-commerce
user_enterprise_38,663,7,12,32.9,20,1891.89,0,0,1,0,0.94,0,87,1,SaaS
user_enterprise_39,554,54,0,0.0,10,2284.42,0,0,0,0,0.8,0,61,3,Finance
