user_id,days_since_signup,days_since_last_activity,logins_last_30_days,total_active_hours,payments_made,lifetime_value_dollars,payment_failures_count,pricing_page_visits,support_tickets,open_complaint_tickets,sentiment_score,failed_onboarding_steps,plan_utilization_percent,core_features_untouched,primary_use_case
user_midmarket_1,257,1,16,23.5,4,1394.31,0,0,1,0,0.52,0,30,7,Marketing
user_midmarket_2,315,7,29,38.2,9,509.25,0,2,2,0,0.0,0,78,2,Education
user_midmarket_3,433,11,12,11.5,8,2712.78,0,2,0,0,0.57,0,35,6,SaaS
user_midmarket_4,404,8,16,10.0,9,2441.71,0,2,0,0,0.67,0,73,2,Marketing
user_midmarket_5,349,28,3,4.9,8,2030.52,0,1,4,1,0.9,0,78,2,E-commerce
user_midmarket_6,333,55,3,1.7,9,4441.02,0,1,0,0,0.39,0,62,3,E-commerce
user_midmarket_7,323,48,2,4.7,9,713.29,0,1,3,1,0.72,0,37,6,Finance
user_midmarket_8,188,57,1,1.0,5,1050.86,0,0,0,0,0.53,0,45,5,Marketing
user_midmarket_9,475,6,10,19.9,7,3000.12,0,0,4,2,0.42,0,65,3,SaaS
user_midmarket_10,502,40,1,0.9,9,1162.88,0,0,6,1,0.79,0,33,6,SaaS
user_midmarket_11,346,31,1,2.6,7,405.97,0,0,1,0,0.37,0,77,2,E-commerce
user_midmarket_12,316,13,11,26.1,5,254.98,1,0,6,4,0.33,0,53,4,SaaS
user_midmarket_13,218,44,2,5.9,6,1543.38,0,2,4,1,0.37,0,84,1,SaaS
user_midmarket_14,376,5,17,14.5,7,493.15,0,4,5,2,0.73,0,40,6,Education
user_midmarket_15,372,10,17,13.9,10,3501.48,0,0,0,0,0.58,0,29,7,E-commerce
user_midmarket_16,350,9,7,4.1,6,538.52,0,0,0,0,0.56,0,56,4,Marketing
user_midmarket_17,341,40,3,6.3,8,1636.26,0,0,0,0,0.43,0,29,7,E-commerce
user_midmarket_18,542,0,10,10.0,16,1593.96,0,3,0,0,0.61,0,81,1,E-commerce
user_midmarket_19,321,3,10,14.4,8,2444.8,3,3,2,0,0.35,0,77,2,Finance
user_midmarket_20,268,59,2,2.8,7,1340.21,0,1,5,0,0.88,0,37,6,Finance
user_midmarket_21,477,4,14,12.7,10,1204.94,2,0,0,0,0.59,0,40,6,Education
user_midmarket_22,294,10,29,78.7,7,3155.44,1,0,0,0,0.55,0,50,5,SaaS
user_midmarket_23,207,45,1,1.4,4,937.33,0,0,0,0,0.38,0,24,7,Finance
user_midmarket_24,515,8,23,45.5,11,1024.42,0,0,3,1,0.77,0,48,5,E-commerce
user_midmarket_25,527,33,0,0.0,16,4320.7,1,0,0,0,0.33,0,59,4,Marketing
user_midmarket_26,247,32,4,10.6,4,565.09,0,1,1,0,0.19,0,87,1,Education
user_midmarket_27,471,12,9,15.7,12,4592.84,0,3,0,0,0.56,0,33,6,Marketing
user_midmarket_28,507,8,15,40.3,14,4153.18,0,0,3,0,0.85,0,18,8,Education
user_midmarket_29,428,39,1,0.8,12,4164.59,0,4,0,0,0.68,0,58,4,E-commerce
user_midmarket_30,475,13,18,28.6,11,2709.69,0,0,0,0,0.72,0,64,3,Marketing
user_midmarket_31,475,16,0,0.0,8,3483.16,0,0,0,0,0.45,0,68,3,E-commerce
user_midmarket_32,353,27,1,2.3,9,4322.53,0,0,1,0,0.59,0,60,4,SaaS
user_midmarket_33,301,0,20,10.5,9,3457.92,0,1,0,0,0.63,0,62,3,Finance
user_midmarket_34,369,11,6,14.4,9,4216.26,0,4,3,4,0.55,0,50,5,E-commerce
user_midmarket_35,498,7,13,19.6,11,1218.36,0,0,4,2,0.35,0,9,9,SaaS
user_midmarket_36,313,7,13,19.0,9,922.3,0,1,2,0,0.49,0,98,0,Marketing
user_midmarket_37,355,13,8,6.5,6,860.89,0,3,0,0,0.57,0,79,2,Education
user_midmarket_38,240,48,3,5.9,7,1465.99,0,1,3,0,0.33,0,49,5,SaaS
user_midmarket_39,204,33,4,3.5,4,682.92,0,5,2,0,0.76,0,85,1,Marketing
user_midmarket_40,366,58,3,3.3,11,4693.68,0,0,0,0,0.74,0,50,5,E-commerce
user_midmarket_41,530,39,3,6.4,15,2705.54,2,0,2,0,0.69,0,28,7,E-commerce
user_midmarket_42,275,48,1,0.6,5,960.73,0,0,0,0,0.65,0,59,4,E-commerce
user_midmarket_43,424,23,2,3.1,13,5606.55,0,0,1,0,0.57,0,39,6,SaaS
user_midmarket_44,462,3,29,42.4,7,1213.78,0,1,4,2,0.85,0,51,4,Finance
user_midmarket_45,481,25,0,0.0,12,5721.43,1,1,4,3,0.73,0,99,0,SaaS
user_midmarket_46,417,3,25,17.7,7,1132.07,0,1,0,0,0.27,0,0,10,E-commerce
user_midmarket_47,309,36,3,2.5,8,966.5,0,0,1,0,0.37,0,76,2,Education
user_midmarket_48,384,9,12,13.6,10,4969.97,0,0,5,4,1.0,0,62,3,SaaS
user_midmarket_49,169,0,14,23.6,4,1483.35,0,0,6,0,0.5,0,93,0,SaaS
user_midmarket_50,439,0,7,13.1,12,3804.04,0,0,3,1,0.8,0,66,3,Education
user_midmarket_51,406,6,5,11.6,8,3780.21,0,0,0,0,0.62,0,58,4,Finance
user_midmarket_52,558,24,3,7.9,17,4845.01,0,1,0,0,0.27,0,28,7,Education
user_midmarket_53,251,13,28,52.3,4,923.94,0,0,2,0,0.75,0,63,3,Education
user_midmarket_54,294,0,5,8.0,6,2799.49,0,0,0,0,0.57,0,60,4,SaaS
user_midmarket_55,323,8,22,27.8,6,675.89,0,0,0,0,0.81,0,51,4,SaaS
