user_id,days_since_signup,days_since_last_activity,logins_last_30_days,total_active_hours,payments_made,lifetime_value_dollars,payment_failures_count,pricing_page_visits,support_tickets,open_complaint_tickets,sentiment_score,failed_onboarding_steps,plan_utilization_percent,core_features_untouched,primary_use_case
user_growth_1,143,0,8,5.3,3,1426.19,0,2,5,1,0.68,0,40,6,SaaS
user_growth_2,227,4,27,69.4,5,2271.32,0,1,1,0,0.58,0,89,1,E-commerce
user_growth_3,135,7,21,57.8,3,1230.06,0,1,0,0,0.91,0,78,2,Finance
user_growth_4,97,10,16,36.5,1,275.93,0,1,0,0,0.76,0,49,5,Finance
user_growth_5,293,55,0,0.0,8,2698.45,0,0,4,1,0.76,0,87,1,E-commerce
user_growth_6,185,7,23,28.6,5,330.45,0,0,0,0,1.0,0,63,3,Finance
user_growth_7,182,22,4,9.4,5,2194.24,0,1,2,0,1.0,0,98,0,Education
user_growth_8,244,8,8,5.6,4,587.71,0,0,0,0,0.62,0,78,2,Marketing
user_growth_9,239,27,4,3.8,6,2439.15,1,5,0,0,0.78,0,90,1,Finance
user_growth_10,107,13,5,7.4,2,977.91,0,3,0,0,0.85,0,96,0,Marketing
user_growth_11,221,8,29,22.2,5,2451.65,0,1,0,0,0.66,0,36,6,Marketing
user_growth_12,153,13,10,29.5,2,560.31,0,3,1,0,0.82,0,90,1,Marketing
user_growth_13,167,51,2,5.2,4,202.68,0,0,0,0,0.56,0,84,1,Finance
user_growth_14,230,8,24,58.2,4,1261.48,0,0,0,0,0.77,0,68,3,Finance
user_growth_15,271,10,10,24.6,7,1398.68,0,0,0,0,0.56,0,75,2,Finance
user_growth_16,250,5,15,38.9,5,921.56,1,1,4,1,0.66,0,69,3,Education
user_growth_17,42,13,9,18.6,0,0.0,0,1,1,0,0.76,2,94,0,Finance
user_growth_18,135,44,0,0.0,3,1074.36,0,0,3,1,0.4,0,66,3,Education
user_growth_19,217,42,1,1.8,5,355.27,0,0,5,2,0.7,0,94,0,Finance
user_growth_20,117,11,19,41.4,2,252.05,1,0,2,0,0.73,0,85,1,Education
user_growth_21,303,6,16,13.0,6,2751.43,1,0,2,0,0.73,0,71,2,Education
user_growth_22,252,7,21,22.5,6,1435.44,2,0,0,0,0.77,0,49,5,SaaS
user_growth_23,61,9,17,49.3,1,175.04,0,0,2,0,0.71,0,80,2,Finance
user_growth_24,120,47,1,1.6,3,1016.2,0,0,0,0,0.7,0,60,4,Marketing
user_growth_25,187,6,22,57.6,4,1643.76,0,0,1,0,0.9,0,100,0,Marketing
user_growth_26,165,12,25,55.2,3,1422.59,0,1,2,0,0.57,0,39,6,E-commerce
user_growth_27,197,1,11,27.6,5,437.26,0,0,0,0,0.89,0,71,2,Education
user_growth_28,229,11,28,21.7,3,828.36,0,0,2,0,0.91,0,100,0,Education
user_growth_29,178,2,8,9.4,3,929.95,0,3,3,2,0.8,0,82,1,SaaS
user_growth_30,265,3,11,8.9,7,914.75,1,0,0,0,0.84,0,71,2,Finance
user_growth_31,151,12,27,27.7,3,902.7,0,0,3,1,0.67,0,51,4,Marketing
user_growth_32,193,11,12,20.1,4,280.89,0,0,0,0,0.88,0,85,1,SaaS
user_growth_33,166,56,2,2.1,2,450.63,0,0,1,0,1.0,0,23,7,Education
user_growth_34,170,1,11,28.2,4,692.89,0,0,0,0,0.64,0,71,2,Education
user_growth_35,282,7,15,16.5,8,2356.54,0,4,0,0,0.65,0,59,4,SaaS
user_growth_36,161,45,2,4.8,4,859.42,0,0,3,1,0.83,0,72,2,Finance
user_growth_37,214,51,4,9.2,4,500.61,0,0,0,0,0.36,0,55,4,Education
user_growth_38,159,7,23,58.0,3,922.94,1,0,4,3,0.84,0,60,4,SaaS
user_growth_39,110,3,27,33.5,1,286.81,0,0,0,0,0.53,0,86,1,Education
user_growth_40,57,9,24,67.1,0,0.0,0,0,0,0,1.0,2,44,5,E-commerce
user_growth_41,213,38,2,4.5,5,876.74,0,2,6,1,0.66,0,75,2,Marketing
user_growth_42,172,5,29,28.0,4,274.54,1,1,0,0,1.0,0,100,0,Finance
user_growth_43,184,2,26,42.6,5,2062.35,0,3,3,2,0.67,0,100,0,E-commerce
user_growth_44,132,4,25,60.9,2,380.71,0,0,5,1,0.47,0,71,2,Finance
user_growth_45,209,0,21,12.5,4,1303.1,0,0,0,0,0.69,0,66,3,Education
user_growth_46,261,12,23,34.2,4,1542.38,0,0,1,0,0.86,0,52,4,Marketing
user_growth_47,187,3,7,15.5,4,276.9,0,1,3,1,0.69,0,100,0,E-commerce
user_growth_48,185,5,13,29.7,5,1097.49,0,0,0,0,0.9,0,60,4,SaaS
user_growth_49,151,1,15,36.5,4,1355.54,0,0,0,0,0.95,0,25,7,Marketing
user_growth_50,143,12,12,12.4,2,604.88,0,0,4,1,0.62,0,79,2,Finance
user_growth_51,276,10,7,5.0,8,776.91,0,0,0,0,0.95,0,50,5,Marketing
user_growth_52,148,10,23,34.5,2,814.98,0,4,1,0,0.55,0,58,4,SaaS
user_growth_53,155,57,0,0.0,4,1454.46,0,0,0,0,0.61,0,56,4,Marketing
user_growth_54,133,8,29,72.3,2,477.05,0,2,2,0,0.53,0,100,0,SaaS
user_growth_55,205,50,2,4.3,4,1046.8,0,0,0,0,0.89,0,76,2,Finance
user_growth_56,30,19,4,3.4,0,0.0,0,0,0,0,0.69,1,63,3,Finance
user_growth_57,160,6,8,11.8,4,204.28,1,0,0,0,0.71,0,60,4,SaaS
user_growth_58,195,23,3,5.3,5,1917.48,0,0,1,0,0.73,0,36,6,Finance
user_growth_59,189,9,11,16.8,3,1367.68,0,0,1,0,0.56,0,87,1,E-commerce
user_growth_60,255,5,18,44.7,6,2819.55,1,0,0,0,0.45,0,68,3,Education
user_growth_61,222,5,25,69.5,5,1587.81,0,0,3,1,0.83,0,65,3,Marketing
user_growth_62,116,7,10,26.2,2,112.58,0,0,3,0,0.63,0,63,3,SaaS
user_growth_63,269,6,14,21.3,4,1032.75,0,0,0,0,0.86,0,73,2,Finance
user_growth_64,263,9,28,18.3,4,1474.19,2,4,1,0,0.55,0,48,5,Education
user_growth_65,218,2,26,38.7,4,1935.82,0,0,5,0,0.7,0,44,5,E-commerce
user_growth_66,102,7,27,68.2,2,315.14,0,0,3,1,0.87,0,67,3,Marketing
user_growth_67,161,0,23,18.0,4,1977.22,0,0,3,2,0.58,0,68,3,Marketing
