user_id,days_since_signup,days_since_last_activity,logins_last_30_days,total_active_hours,payments_made,lifetime_value_dollars,payment_failures_count,pricing_page_visits,support_tickets,open_complaint_tickets,sentiment_score,failed_onboarding_steps,plan_utilization_percent,core_features_untouched,primary_use_case
user_legacy_1,932,28,0,0.0,30,2934.53,0,1,0,0,0.13,0,40,6,E-commerce
user_legacy_2,1161,22,3,7.8,33,7053.12,1,2,4,2,0.69,0,5,9,Finance
user_legacy_3,375,17,2,5.4,6,2578.41,0,2,0,0,0.35,0,45,5,Marketing
user_legacy_4,1238,32,4,8.1,30,4101.83,1,0,3,1,0.02,0,0,10,E-commerce
user_legacy_5,1412,46,2,4.0,25,11945.17,2,0,0,0,0.25,0,0,10,SaaS
user_legacy_6,815,2,27,17.3,23,8054.55,1,1,2,0,0.46,0,9,9,Finance
user_legacy_7,1097,29,0,0.0,30,3768.4,1,2,2,0,0.09,0,91,0,SaaS
user_legacy_8,1196,13,8,12.9,26,11884.76,0,2,3,3,0.71,0,53,4,Finance
user_legacy_9,1421,3,28,26.7,25,11529.44,0,0,0,0,0.43,0,59,4,E-commerce
user_legacy_10,773,40,3,2.9,20,7747.48,0,0,4,0,0.2,0,45,5,Education
user_legacy_11,1128,24,4,8.8,23,5330.74,0,0,2,0,0.25,0,50,5,Education
user_legacy_12,624,52,3,7.7,12,1831.19,0,0,8,1,0.34,0,35,6,Finance
user_legacy_13,664,9,14,15.2,12,3558.35,0,2,4,0,0.17,0,32,6,Finance
user_legacy_14,598,42,4,2.7,18,3404.07,0,0,1,0,0.33,0,0,10,SaaS
user_legacy_15,704,38,4,2.6,22,1619.63,0,3,1,0,0.41,0,60,4,Marketing
user_legacy_16,1718,20,2,5.1,44,17931.94,0,1,1,0,0.0,0,29,7,E-commerce
user_legacy_17,183,32,1,1.1,4,502.09,0,2,1,0,0.52,0,34,6,SaaS
user_legacy_18,582,32,1,0.9,17,3734.98,0,2,3,2,0.02,0,8,9,Marketing
user_legacy_19,505,49,0,0.0,14,6049.76,0,0,0,0,0.31,0,60,4,Marketing
user_legacy_20,1340,11,27,74.8,30,1552.75,2,0,2,0,0.19,0,49,5,Marketing
user_legacy_21,1109,34,2,5.6,29,13414.33,1,3,6,0,0.3,0,35,6,SaaS
user_legacy_22,825,35,2,2.2,16,848.1,0,4,3,1,0.11,0,30,7,E-commerce
user_legacy_23,1387,53,2,4.3,44,20676.1,0,3,3,0,0.23,0,47,5,E-commerce
user_legacy_24,826,38,2,2.7,13,4005.26,1,0,1,0,0.0,0,97,0,E-commerce
user_legacy_25,839,26,4,4.0,17,6728.81,0,1,5,1,0.13,0,94,0,Education
user_legacy_26,704,17,2,5.4,15,2312.15,0,1,1,0,0.08,0,7,9,Marketing
user_legacy_27,625,0,24,37.8,14,2953.4,0,0,0,0,0.05,0,100,0,Marketing
user_legacy_28,837,20,1,2.5,26,1324.75,0,1,4,0,0.3,0,26,7,Education
user_legacy_29,1122,48,1,2.4,23,2036.92,0,1,1,0,0.41,0,43,5,Finance
user_legacy_30,795,53,3,4.6,24,4561.58,0,3,2,0,0.22,0,54,4,SaaS
user_legacy_31,868,2,18,27.5,15,6057.28,0,1,7,0,0.31,0,78,2,E-commerce
user_legacy_32,977,35,3,5.3,17,2622.5,0,4,4,0,0.36,0,100,0,E-commerce
user_legacy_33,1320,59,3,8.3,26,3357.54,2,2,2,0,0.29,0,40,6,Finance
user_legacy_34,923,43,0,0.0,17,1796.57,0,1,4,0,0.13,0,43,5,Education
user_legacy_35,575,38,2,3.1,14,4691.05,0,2,4,0,0.27,0,3,9,Finance
user_legacy_36,1148,43,3,8.9,21,3357.41,0,4,3,2,0.06,0,56,4,E-commerce
user_legacy_37,822,16,0,0.0,26,9639.23,0,2,3,1,0.29,0,39,6,E-commerce
user_legacy_38,986,44,4,4.5,28,8706.01,0,0,1,0,0.0,0,48,5,E-commerce
user_legacy_39,1615,2,28,60.7,34,13810.44,0,3,2,0,0.3,0,42,5,Marketing
user_legacy_40,1200,51,2,5.6,26,4947.42,1,5,8,4,0.43,0,52,4,Education
user_legacy_41,1065,9,25,47.1,29,6101.17,0,1,1,0,0.45,0,75,2,E-commerce
user_legacy_42,1830,23,2,2.1,53,22050.31,0,0,3,0,0.19,0,5,9,Marketing
user_legacy_43,930,46,1,2.2,23,10304.25,0,2,5,0,0.38,0,62,3,E-commerce
user_legacy_44,1895,35,2,5.5,49,17940.66,0,1,1,0,0.44,0,12,8,Education
user_legacy_45,1280,13,6,3.5,36,2117.3,0,0,5,0,0.29,0,0,10,Marketing
user_legacy_46,932,2,26,31.9,23,5919.21,1,2,3,1,0.11,0,36,6,SaaS
user_legacy_47,684,37,3,6.7,17,3068.8,0,1,3,0,0.6,0,57,4,E-commerce
user_legacy_48,938,58,3,7.3,18,4454.9,0,2,1,0,0.41,0,71,2,SaaS
user_legacy_49,1133,42,1,3.0,22,3917.33,2,0,3,2,0.07,0,45,5,Marketing
user_legacy_50,1112,11,26,55.6,33,7579.41,2,2,2,0,0.33,0,45,5,Education
user_legacy_51,1314,40,1,2.2,37,16255.14,0,2,3,2,0.27,0,47,5,Marketing
