user_id,days_since_signup,days_since_last_activity,logins_last_30_days,total_active_hours,payments_made,lifetime_value_dollars,payment_failures_count,pricing_page_visits,support_tickets,open_complaint_tickets,sentiment_score,failed_onboarding_steps,plan_utilization_percent,core_features_untouched,primary_use_case
user_1,103,37,10,35.713017525879316,4,4328.493726454859,0,1,3,0,1.9596716754180994,2,73.9176998714428,3,E-commerce
user_2,436,12,7,603.7605562817571,14,12349.515370041336,0,2,1,0,3.349557897824852,4,17.683401209120564,5,Personal
user_3,861,84,1,1490.6839150126689,28,22197.692128120412,0,1,7,3,1.8628786128770936,1,80.51200248207101,5,Agency
user_4,271,46,5,522.8110074301005,11,5189.523920370089,0,0,0,1,2.892693032085415,1,84.58724297769335,9,Personal
user_5,107,99,4,138.44296899780204,3,3332.3637446311177,1,0,2,1,4.429560678348725,1,63.84341774274641,2,E-commerce
user_6,72,87,11,32.38506103577891,3,2724.8407413596565,0,2,3,0,4.709085778133273,3,76.98549433989132,7,B2B
user_7,701,51,11,210.8156951034308,25,16467.87848705021,0,0,4,0,1.3695761157483428,4,17.183516668604337,4,Agency
user_8,21,35,1,34.53275376431664,0,699.612137392836,0,3,8,4,2.3072314250683235,4,57.59389826706368,9,Agency
user_9,615,14,14,737.7769426266591,22,22428.485092973035,1,2,3,1,2.9041767315504057,2,67.67993144461313,3,B2B
user_10,122,28,7,155.51846787098026,5,4514.05877541392,2,1,0,0,3.3524097772708106,0,66.15605808542779,1,B2B
user_11,467,37,0,740.0913113520535,15,3427.067552226753,0,1,4,3,1.2214849795364504,1,11.728987764318077,9,Agency
user_12,215,4,12,308.7887475287065,7,9393.060020003022,2,0,1,1,2.305803081670012,1,34.438246248003814,0,E-commerce
user_13,331,37,2,557.8907952211991,11,8480.68312342539,2,3,3,0,3.5639764645046235,2,13.393947745834653,14,Agency
user_14,459,46,7,94.92414695156002,17,7715.204167435309,0,1,2,1,1.008326049399681,4,57.25268725969084,9,Agency
user_15,88,67,6,133.7854504640156,2,1397.387449619539,1,0,0,2,4.87229312345497,3,76.52371288677531,2,Agency
user_16,373,75,7,640.299349114169,13,9972.39188408571,0,1,2,1,1.9283163527520886,4,57.05903661702138,2,E-commerce
user_17,100,44,10,64.36565806707972,4,4490.741927610316,0,1,2,0,4.668395074332029,3,75.48274386516542,2,B2B
user_18,872,1,10,1148.2930435520213,30,19206.359105227068,0,2,4,0,1.436058978138024,3,9.896759669900812,9,B2B
user_19,664,26,14,462.74685973672393,22,25721.805313892273,0,4,3,0,1.9523487281782903,4,87.81386908672773,2,B2B
user_20,131,28,1,251.5389984474828,4,1225.7464191696536,1,0,5,0,1.9394948043500015,1,4.110838020803705,6,E-commerce
user_21,662,35,8,108.24016940937662,22,17491.72915708013,0,0,2,0,4.984611616802585,3,3.7498660467172873,5,E-commerce
user_22,309,83,1,371.2963786143279,11,15334.39578216099,2,11,4,0,1.0184021829035377,2,64.32130030224263,9,B2B
user_23,770,25,9,320.5946893334406,25,30545.669866754477,1,0,3,0,3.558552837213983,2,51.73471873630755,2,Personal
user_24,344,42,17,499.9071261037909,11,4978.981001060689,0,1,5,0,4.478746324243412,3,22.036956884856494,0,Personal
user_25,492,26,8,213.62223693976534,17,13561.914227671743,0,0,0,0,3.689094616098947,1,76.44254586113547,9,B2B
user_26,414,69,2,226.55247380924806,15,6422.429346772795,0,0,8,3,1.7793677276518283,3,93.356825120798,8,Personal
user_27,806,95,1,837.6794600354739,29,18884.77483181121,0,2,2,1,4.8332374508117395,2,0.3761472525959797,13,Personal
user_28,386,10,15,709.5399523277104,12,15480.05949227634,0,1,2,0,4.5740830183561645,2,49.3915682816369,5,B2B
user_29,192,73,11,96.43340295957975,6,7623.382404109088,1,2,1,0,2.735819680998071,4,12.817499869842909,9,B2B
user_30,956,37,11,357.59757435892317,33,14592.878257360608,0,2,3,0,3.293313970444654,1,92.97997237048162,8,E-commerce
user_31,277,5,10,427.1495066047763,9,12880.513660800332,1,1,6,0,4.870076751220963,4,31.879605961923296,1,Personal
user_32,161,71,12,169.23951494094948,7,5098.15648413117,1,0,5,0,4.93024144770588,0,19.478468369952584,9,Personal
user_33,460,22,12,842.9001882216681,16,10164.4328229137,0,0,0,0,2.799293102871809,3,47.842867676945545,8,B2B
user_34,314,46,5,118.87024480156191,13,8662.349756433561,2,0,2,0,4.389400112572354,4,4.328248950118074,2,Agency
user_35,22,89,4,29.199785928363045,2,709.0205409033663,0,0,0,1,2.2079209078157453,1,25.28368312264049,2,B2B
